,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
288,2004-12-09 01:04:22,1102525462.0,siri,0.396,6.9,24.1007194245,1189.23999,0.732686559188,23.3680328653
289,2006-06-17 07:35:16,1150500916.0,siri,8.047,4.07,-26.7985611511,1230.040039,4.18858997824,-30.9871511293
290,2008-12-18 20:04:46,1229601886.0,siri,214.157,0.1395,-97.4910071942,885.280029,-25.0137596883,-72.4772475059
291,2004-10-22 06:57:36,1098399456.0,siri,0.347,3.84,-30.9352517986,1095.73999,-7.18708259799,-23.7481692006
292,2003-12-15 22:24:15,1071498255.0,siri,0.211,2.235,-59.8021582734,1068.040039,-9.53336299997,-50.2687952734
293,2004-06-21 14:06:20,1087797980.0,siri,0.316,3.11,-44.0647482014,1130.300049,-4.2597276318,-39.8050205696
294,2009-01-10 16:31:16,1231576276.0,siri,214.157,0.14,-97.4820143885,906.650024,-23.2036481665,-74.278366222
295,2004-02-03 08:20:27,1075767627.0,siri,0.211,2.79,-49.8201438849,1136.030029,-3.77437876683,-46.0457651181
296,2003-10-26 19:04:47,1067166287.0,siri,0.194,2.38,-57.1942446043,1033.77002,-12.4361505881,-44.7580940162
297,2008-12-17 10:24:32,1229480672.0,siri,214.157,0.15,-97.3021582734,904.419983,-23.3925402514,-73.909618022
298,2005-02-06 11:50:21,1107661821.0,siri,0.396,6.415,15.3776978417,1189.890015,0.787745895513,14.5899519462
299,2004-09-17 04:10:15,1095365415.0,fti,0.434,32.31,0.0,1128.550049,0.0,0.0
300,2005-03-19 14:09:00,1111212540.0,fti,0.246,33.94,5.04487774683,1188.069946,5.27401483459,-0.22913708776
301,2007-04-10 04:13:23,1176149603.0,fti,0.261,71.0,119.746208604,1448.390015,28.3407870376,91.4054215665
302,2004-11-27 23:11:58,1101568318.0,fti,0.373,33.03,2.22841225627,1181.76001,4.71489598952,-2.48648373325
303,2007-10-31 06:37:32,1193783852.0,fti,0.509,60.1,86.0105230579,1549.380005,37.2894366867,48.7210863711
304,2005-02-14 06:58:30,1108335510.0,fti,0.246,33.55,3.83782110802,1206.140015,6.87519052157,-3.03736941355
305,2006-07-18 12:32:14,1153197134.0,abt,0.436,44.48,0.0,1236.859985,0.0,0.0
306,2004-09-20 13:31:02,1095658262.0,abt,0.543,42.92,-3.5071942446,1122.199951,-9.2702517173,5.76305747269
307,2008-04-28 03:46:55,1209325615.0,abt,0.687,51.28,15.2877697842,1396.369995,12.8963675707,2.39140221351
308,2007-04-10 20:13:09,1176207189.0,abt,0.883,57.11,28.3947841727,1448.390015,17.102180729,11.2926034436
309,2005-02-28 19:21:54,1109589714.0,abt,0.508,45.61,2.5404676259,1203.599976,-2.68906823758,5.22953586348
310,2004-10-23 22:48:08,1098542888.0,abt,0.543,40.86,-8.13848920863,1103.660034,-10.7692020613,2.63071285267
311,2005-01-25 12:44:11,1106628251.0,abt,0.508,45.93,3.25989208633,1168.410034,-5.5341713557,8.79406344203
312,2007-06-03 02:36:35,1180809395.0,abt,0.871,56.3,26.5737410072,1530.619995,23.7504659834,2.82327502377
313,2007-03-23 02:47:40,1174589260.0,abt,0.883,54.5,22.5269784173,1436.109985,16.1093415921,6.41763682514
314,2008-01-23 23:41:45,1201102905.0,abt,0.784,57.97,30.3282374101,1338.599976,8.22566759648,22.1025698136
315,2008-12-25 05:30:56,1230154256.0,abt,0.546,52.65,18.3678057554,871.630005,-29.5288055584,47.8966113138
316,2007-01-13 21:19:42,1168694382.0,abt,0.604,50.45,13.4217625899,1414.849976,14.3904720954,-0.968709505424
317,2008-10-23 21:57:42,1224770262.0,abt,0.732,55.02,23.6960431655,908.109985,-26.5794030033,50.2754461688
318,2006-06-17 18:01:01,1150538461.0,abt,0.436,42.78,-3.82194244604,1230.040039,-0.551391918464,-3.27055052758
319,2005-04-01 10:35:23,1112322923.0,stx,0.364,19.55,0.0,1172.920044,0.0,0.0
320,2004-09-18 21:29:35,1095514175.0,stx,0.401,13.79,-29.462915601,1120.369995,-4.4802754688,-24.9826401322
321,2007-06-22 20:35:55,1182515755.0,stx,0.467,22.19,13.5038363171,1502.560059,28.1042187561,-14.600382439
322,2005-02-23 08:33:25,1109118805.0,stx,0.364,17.17,-12.1739130435,1190.800049,1.52440101024,-13.6983140537
323,2008-12-20 23:59:26,1229788766.0,stx,0.437,4.55,-76.726342711,904.419983,-22.8915911509,-53.83475156
324,2006-06-27 20:29:53,1151411393.0,stx,0.116,21.08,7.82608695652,1239.199951,5.6508461373,2.17524081922
